"id","name","start","dist","up","down","end","type","surface","map","deprecated","neighborhoods","coarse_neighborhoods","start_neighborhood","end_neighborhood"
"cse-lake-union-loop","CSE, Lake Union Loop","CSE","8.1","400","","CSE","Loop","","https://onthegomap.com/s/d7n6ivqv","","East Queen Anne;Eastlake;Fremont;South Lake Union;University District;University of Washington;Wallingford;Westlake","Cascade;North Central;Queen Anne;University District","University of Washington","University of Washington"
"cse-arb-lwb-cc","CSE, Arboretum, LWB, Columbia City","CSE","8.2","670","","ColCity","P2P","","https://onthegomap.com/s/3keko8m6","","Columbia City;Harrison/Denny-Blaine;Leschi;Madison Park;Madrona;Montlake;Mount Baker;Seward Park;Stevens;University of Washington","Capitol Hill;Central Area;Rainier Valley;Seward Park;University District","University of Washington","Columbia City"
"cse-foster-arboretum-madison-park-ob","OB: CSE, Foster, Arboretum, Madison Park","CSE","8.3","840","","CSE","OB","","https://onthegomap.com/s/ti2jb5tb","","Harrison/Denny-Blaine;Madison Park;Montlake;Stevens;University of Washington","Capitol Hill;Central Area;University District","University of Washington","University of Washington"
"cse-magnuson-ob","OB: CSE, Magnuson","CSE","8.3","380","","CSE","OB","","https://onthegomap.com/s/js1qc2oe","","Bryant;Ravenna;Sand Point;University District;University of Washington;View Ridge;Windermere","Northeast;University District","University of Washington","University of Washington"
"cse-arb-lwb-i90-trail-beacon","CSE, Arboretum, LWB, I90 Trail, Beacon","CSE","8.4","1110","","Beacon","P2P","","https://onthegomap.com/s/su6gtm6h","","Atlantic;Harrison/Denny-Blaine;Leschi;Madison Park;Madrona;Montlake;Mount Baker;North Beacon Hill;Stevens;University of Washington","Beacon Hill;Capitol Hill;Central Area;Rainier Valley;University District","University of Washington","North Beacon Hill"
"cse-foster-arboretum-beaver-lodge-ob","OB: CSE, Foster, Arboretum, Beaver Lodge","CSE","8.8","800","","CSE","OB","","https://onthegomap.com/s/571qdd37","","Harrison/Denny-Blaine;Madison Park;Montlake;Stevens;University of Washington","Capitol Hill;Central Area;University District","University of Washington","University of Washington"
"cse-lwb-cc","CSE, LWB, Columbia City","CSE","8.8","650","","ColCity","P2P","","https://onthegomap.com/s/k3pikua1","","Columbia City;Harrison/Denny-Blaine;Leschi;Madison Park;Madrona;Montlake;Mount Baker;Seward Park;Stevens;University of Washington","Capitol Hill;Central Area;Rainier Valley;Seward Park;University District","University of Washington","Columbia City"
"cse-520-eastrail-bell-dtwn","CSE, 520, Eastrail, Bellevue Downtown","CSE","9.0","740","","BellDtwn","P2P","","https://onthegomap.com/s/8rjmci5k","","Montlake;University of Washington","Capitol Hill;University District","University of Washington","Montlake"
"cse-burke-salmon-bay-ship-canal-ob","OB: CSE, Burke, Salmon Bay, Ship Canal","CSE","9.3","310","","CSE","OB","","https://onthegomap.com/s/gtievusc","","East Queen Anne;Fremont;North Queen Anne;University District;University of Washington;Wallingford;West Woodland","Ballard;North Central;Queen Anne;University District","University of Washington","University of Washington"
"cse-lwb-frog-pond-i90-trail-sodo","CSE, LWB, Frog Pond, I90 Trail, SODO","CSE","9.3","910","","SODO","P2P","","https://onthegomap.com/s/oru27j5p","","Atlantic;Harrison/Denny-Blaine;Leschi;Madison Park;Madrona;Montlake;Mount Baker;North Beacon Hill;SODO;Stevens;University of Washington","Beacon Hill;Capitol Hill;Central Area;Greater Duwamish;Rainier Valley;University District","University of Washington","SODO"
"cse-portage-bay-lake-union-loop","CSE, Portage Bay, Lake Union Loop","CSE","9.5","540","","CSE","Loop","","https://onthegomap.com/s/5mii0jgd","","East Queen Anne;Eastlake;Fremont;Montlake;Portage Bay;South Lake Union;University District;University of Washington;Wallingford;Westlake","Capitol Hill;Cascade;North Central;Queen Anne;University District","University of Washington","University of Washington"
"cse-arb-mercer-westlake-burke-loop","CSE, Arboretum, Mercer, Westlake, Burke Loop","CSE","9.7","870","","CSE","Loop","","https://onthegomap.com/s/sq0lng1a","","Broadway;East Queen Anne;Fremont;Montlake;South Lake Union;Stevens;University District;University of Washington;Wallingford;Westlake","Capitol Hill;Cascade;North Central;Queen Anne;University District","University of Washington","University of Washington"
"cse-magnuson-park-loop-ob","OB: CSE, Magnuson Park Loop","CSE","9.7","520","","CSE","OB","","https://onthegomap.com/s/947d7u3q","","Bryant;Ravenna;Sand Point;University District;University of Washington;Windermere","Northeast;University District","University of Washington","University of Washington"
"cse-520-wetherill-ob","OB: CSE, 520, Wetherill Preserve","CSE","9.8","710","","CSE","OB","","https://onthegomap.com/s/jssjhikb","","Montlake;University of Washington","Capitol Hill;University District","University of Washington","University of Washington"
"cse-520-trail-redmond-tech-center","CSE, 520 Trail, Redmond Tech Center","CSE","10.0","930","","RedTech","P2P","","https://onthegomap.com/s/v912b5iv","","Montlake;University of Washington","Capitol Hill;University District","University of Washington","Montlake"
"cse-arb-lwb-seward-cc","CSE, Arboretum, LWB, Seward, Columbia City","CSE","10.9","860","","ColCity","P2P","","https://onthegomap.com/s/k9kqgvd7","","Columbia City;Harrison/Denny-Blaine;Leschi;Madison Park;Madrona;Montlake;Mount Baker;Seward Park;Stevens;University of Washington","Capitol Hill;Central Area;Rainier Valley;Seward Park;University District","University of Washington","Columbia City"
"cse-jays-cafe","CSE to Jay's Cafe","CSE","11.2","410","","JaysCafe","P2P","","https://onthegomap.com/s/9au7h17i","","Bryant;Cedar Park;Matthews Beach;Ravenna;University District;University of Washington;View Ridge;Windermere","Lake City;Northeast;University District","University of Washington","Cedar Park"
"cse-lwb-colman-park-ob","OB: CSE, LWB, Colman Park","CSE","11.6","970","","CSE","OB","","https://onthegomap.com/s/li7sok5j","","Harrison/Denny-Blaine;Leschi;Madison Park;Madrona;Montlake;Mount Baker;Stevens;University of Washington","Capitol Hill;Central Area;Rainier Valley;University District","University of Washington","University of Washington"
"cse-burke-locks-elliot-bay-westlake","CSE, Burke, Locks, Elliot Bay, Westlake","CSE","11.7","500","","Westlake","P2P","","https://onthegomap.com/s/njn7df19","","Ballard;Belltown;Central Business District;Fremont;Interbay;Lawton Park;Pike-Market;Southeast Magnolia;University District;University of Washington;Wallingford;West Woodland","Ballard;Downtown;Interbay;Magnolia;North Central;University District","University of Washington","Central Business District"
"cse-520-eastside-parks-south-bellevue","CSE, 520, Eastside Parks, South Bellevue","CSE","11.9","1260","","SoBell","P2P","","https://onthegomap.com/s/n3e1nni2","","Montlake;University of Washington","Capitol Hill;University District","University of Washington","Montlake"
"cse-lake-union-stone-green-lake-ravenna-loop","CSE, Lake Union, Stone Way, Green Lake, Ravenna Loop","CSE","12.5","640","","CSE","Loop","","https://onthegomap.com/s/l7silht4","","East Queen Anne;Eastlake;Fremont;Green Lake;Phinney Ridge;Ravenna;Roosevelt;South Lake Union;University District;University of Washington;Wallingford;Westlake","Cascade;North Central;Northeast;Queen Anne;University District","University of Washington","University of Washington"
"cse-arb-lwb-seward-loop-cc","CSE, Arboretum, LWB, Seward Loop, Columbia City","CSE","13.3","950","","ColCity","P2P","","https://onthegomap.com/s/8afj5151","","Columbia City;Harrison/Denny-Blaine;Leschi;Madison Park;Madrona;Montlake;Mount Baker;Seward Park;Stevens;University of Washington","Capitol Hill;Central Area;Rainier Valley;Seward Park;University District","University of Washington","Columbia City"
"cse-lwb-sailing-club-ob","OB: CSE, LWB, Sailing Club","CSE","14.0","1040","","CSE","OB","","https://onthegomap.com/s/jat6l5fl","","Harrison/Denny-Blaine;Leschi;Madison Park;Madrona;Montlake;Mount Baker;Seward Park;Stevens;University of Washington","Capitol Hill;Central Area;Rainier Valley;Seward Park;University District","University of Washington","University of Washington"
"cse-eastlake-sculpture-locks-loop","CSE, Eastlake, Sculpture Park, Locks Loop","CSE","15.7","740","","CSE","Loop","","https://onthegomap.com/s/3ijhqn6e","","Ballard;Belltown;Eastlake;Fremont;Interbay;Lawton Park;Lower Queen Anne;Portage Bay;South Lake Union;Southeast Magnolia;University District;University of Washington;Wallingford;West Woodland","Ballard;Capitol Hill;Cascade;Downtown;Interbay;Magnolia;North Central;Queen Anne;University District","University of Washington","University of Washington"
"cse-woodinville-cafe","CSE, Woodinville Cafe","CSE","16.3","610","","WoodCafe","P2P","","https://onthegomap.com/s/4un60ulp","","Bryant;Cedar Park;Matthews Beach;Ravenna;University District;University of Washington;View Ridge;Windermere","Lake City;Northeast;University District","University of Washington","Cedar Park"
"cse-portage-sculpture-locks-loop","CSE, Portage Bay, Sculpture Park, Locks Loop","CSE","17.1","870","","CSE","Loop","","https://onthegomap.com/s/8l1h07jc","","Ballard;Belltown;Eastlake;Fremont;Interbay;Lawton Park;Lower Queen Anne;Montlake;Portage Bay;South Lake Union;Southeast Magnolia;University District;University of Washington;Wallingford;West Woodland","Ballard;Capitol Hill;Cascade;Downtown;Interbay;Magnolia;North Central;Queen Anne;University District","University of Washington","University of Washington"
"cse-lwb-seward-ob","OB: CSE, LWB, Seward","CSE","17.6","1060","","CSE","OB","","https://onthegomap.com/s/h7l0d3ht","","Harrison/Denny-Blaine;Leschi;Madison Park;Madrona;Montlake;Mount Baker;Seward Park;Stevens;University of Washington","Capitol Hill;Central Area;Rainier Valley;Seward Park;University District","University of Washington","University of Washington"
"cse-520-ckc-sammamish-river-marymoor","CSE, 520, CKC, Sammamish River, Marymoor","CSE","17.9","830","","Marymoor","P2P","","https://onthegomap.com/s/edss2jn5","","Montlake;University of Washington","Capitol Hill;University District","University of Washington","Montlake"
"cse-lwb-seward-loop-ob","OB: CSE, LWB, Seward Loop","CSE","20.0","1150","","CSE","OB","","https://onthegomap.com/s/o6107999","","Harrison/Denny-Blaine;Leschi;Madison Park;Madrona;Montlake;Mount Baker;Seward Park;Stevens;University of Washington","Capitol Hill;Central Area;Rainier Valley;Seward Park;University District","University of Washington","University of Washington"
"cse-520-mercer-slough-i90-lwb-arb-loop","CSE, 520, Mercer Slough, I90 Trail, LWB, Arboretum Loop","CSE","20.7","1600","","CSE","Loop","","https://onthegomap.com/s/86vj3afv","","Harrison/Denny-Blaine;Leschi;Madison Park;Madrona;Montlake;Mount Baker;Stevens;University of Washington","Capitol Hill;Central Area;Rainier Valley;University District","University of Washington","University of Washington"
"cse-520-eastrail-mercer-slough-i90-lwb-arb-loop","CSE, 520, Eastrail, Mercer Slough, I90 Trail, LWB, Arboretum Loop","CSE","22.4","1700","","CSE","Loop","","https://onthegomap.com/s/24dhlgat","","Harrison/Denny-Blaine;Leschi;Madison Park;Madrona;Montlake;Mount Baker;Stevens;University of Washington","Capitol Hill;Central Area;Rainier Valley;University District","University of Washington","University of Washington"
"green-lake-ravenna-calvary-cemetery-ob","OB: Green Lake, Ravenna, Calvary Cemetery","GasWorks","5.4","510","","GasWorks","OB","","https://onthegomap.com/s/4hanjvch","","Green Lake;Ravenna;Roosevelt","North Central;Northeast","Green Lake","Green Lake"
"gas-works-ballard-bridge-ship-canal-loop","Gas Works, Ballard Bridge, Ship Canal Loop","GasWorks","5.5","209","","GasWorks","Loop","","https://onthegomap.com/s/bc36dol4","","Fremont;North Queen Anne;Wallingford;West Woodland","Ballard;North Central;Queen Anne","Wallingford","Wallingford"
"gas-works-green-lake-ob","OB: Gas Works, Green Lake Community Center","GasWorks","6.0","357","","GasWorks","OB","","https://onthegomap.com/s/trfuphnl","","Fremont;Green Lake;Phinney Ridge;Wallingford","North Central","Wallingford","Wallingford"
"gas-works-lake-union-loop","Gas Works, Lake Union Loop","GasWorks","6.3","303","","GasWorks","Loop","","https://onthegomap.com/s/oepno6ud","","East Queen Anne;Eastlake;Fremont;South Lake Union;University District;Wallingford;Westlake","Cascade;North Central;Queen Anne;University District","Wallingford","Wallingford"
"gas-works-around-green-lake-ob","OB: Gas Works, Green Lake Loop","GasWorks","6.9","390","","GasWorks","OB","","https://onthegomap.com/s/dg4pkip4","","Fremont;Green Lake;Phinney Ridge;Wallingford","North Central","Wallingford","Wallingford"
"gas-works-locks-salmon-bay-loop","Gas Works, Locks, Salmon Bay Loop","GasWorks","8.0","250","","GasWorks","Loop","","https://onthegomap.com/s/4fpqkgfr","","Ballard;East Queen Anne;Fremont;Interbay;Lawton Park;North Queen Anne;Wallingford;West Woodland","Ballard;Interbay;Magnolia;North Central;Queen Anne","Wallingford","Wallingford"
"gas-works-queen-anne-loop","Gas Works, Queen Anne Loop","GasWorks","9.7","830","","GasWorks","Loop","","https://onthegomap.com/s/56mrgar1","","Belltown;Denny Triangle;East Queen Anne;Fremont;Interbay;Lower Queen Anne;North Queen Anne;South Lake Union;Wallingford;West Queen Anne;Westlake","Cascade;Downtown;Interbay;North Central;Queen Anne","Wallingford","Wallingford"
"gas-works-kotkins-pier-salmon-bay-loop","Gas Works, Kotkins Pier, Salmon Bay Loop","GasWorks","10.2","320","","GasWorks","Loop","","https://onthegomap.com/s/oufhpc2l","","Ballard;East Queen Anne;Fremont;Interbay;Lawton Park;North Queen Anne;Sunset Hill;Wallingford;West Woodland","Ballard;Interbay;Magnolia;North Central;Queen Anne","Wallingford","Wallingford"
"green-lake-loop","Green Lake Loop","GreenLake","2.8","91","","GreenLake","Loop","","https://onthegomap.com/s/9i7epe20","true","Green Lake","North Central","Green Lake","Green Lake"
"green-lake-gas-works-ob","OB: Green Lake Community Center, Gas Works","GreenLake","6.0","403","","GreenLake","OB","","https://onthegomap.com/s/5lmhn2pg","true","Fremont;Green Lake;Phinney Ridge;Wallingford","North Central","Green Lake","Green Lake"
"green-lake-ravenna-burke-stone-loop","Green Lake, Ravenna, Burke, Stone Way Loop","GreenLake","8.0","430","","GreenLake","Loop","","https://onthegomap.com/s/svphv9ji","true","Fremont;Green Lake;Phinney Ridge;Ravenna;Roosevelt;University District;University of Washington;Wallingford","North Central;Northeast;University District","Green Lake","Green Lake"
"johnson-ridge-trail-sunrise-scorpion-ob","OB: Johnson Ridge Trail, Sunrise Mountain, Scorpion Mountain","JRidgeTrail","8.2","3400","3400.0","JRidgeTrail","OB","Trail","https://onthegomap.com/s/f71fgke1","","non-Seattle","non-Seattle","non-Seattle","non-Seattle"
"locks-ballard-bridge-loop","Locks, Ballard Bridge Loop","Locks","3.5","156","","Locks","Loop","","https://onthegomap.com/s/53tu3r6p","","Ballard;Interbay;Lawton Park;North Queen Anne;West Woodland","Ballard;Interbay;Magnolia;Queen Anne","Ballard","Ballard"
"locks-golden-gardens-ob","OB: Locks, Golden Gardens","Locks","4.5","166","","Locks","OB","","https://onthegomap.com/s/bq66i80d","","Ballard;Sunset Hill","Ballard","Ballard","Ballard"
"locks-discovery-loop","Locks, Discovery Park Loop","Locks","6.2","950","","Locks","Loop","","https://onthegomap.com/s/6ntam7vl","","Ballard;Interbay;Lawton Park","Ballard;Interbay;Magnolia","Ballard","Ballard"
"locks-fremont-bridge-loop","Locks, Fremont Bridge Loop","Locks","6.3","257","","Locks","Loop","","https://onthegomap.com/s/3bafjrs7","","Ballard;Fremont;Interbay;Lawton Park;North Queen Anne;West Woodland","Ballard;Interbay;Magnolia;North Central;Queen Anne","Ballard","Ballard"
"locks-discovery-radar-magnolia-discovery-ob","OB: Locks, Discovery Radar, Magnolia, Discovery, Locks","Locks","7.9","990","","Locks","OB","","https://onthegomap.com/s/si9m6jpv","","Ballard;Briarcliff;Interbay;Lawton Park","Ballard;Interbay;Magnolia","Ballard","Ballard"
"locks-discovery-salmon-bay-loop","Locks, Discovery Park, Salmon Bay Loop","Locks","8.1","890","","Locks","Loop","","https://onthegomap.com/s/uop4tt1d","","Ballard;Interbay;Lawton Park;North Queen Anne;West Woodland","Ballard;Interbay;Magnolia;Queen Anne","Ballard","Ballard"
"locks-discovery-magnolia-interbay-loop","Locks, Discovery, Magnolia, Interbay Loop","Locks","8.8","880","","Locks","Loop","","https://onthegomap.com/s/kn1hi8ov","","Ballard;Briarcliff;Interbay;Lawton Park;Southeast Magnolia","Ballard;Interbay;Magnolia","Ballard","Ballard"
"locks-discovery-magnolia-discovery-ob","OB: Locks, Discovery, Magnolia, Discovery, Locks","Locks","10.0","1320","","Locks","OB","","https://onthegomap.com/s/huatu1m7","","Ballard;Briarcliff;Interbay;Lawton Park","Ballard;Interbay;Magnolia","Ballard","Ballard"
"locks-magnolia-elliott-bay-cranes-alki","Locks, Magnolia, Elliott Bay Trail, Cranes, Alki Beach","Locks","15.2","810","","Alki","P2P","","https://onthegomap.com/s/u0jioq43","","Alki;Ballard;Belltown;Briarcliff;Central Business District;Harbor Island;Industrial District;Interbay;Lawton Park;Pike-Market;Pioneer Square;SODO;Southeast Magnolia","Ballard;Downtown;Greater Duwamish;Interbay;Magnolia;West Seattle","Ballard","Alki"
"lord-hill-end-to-end-viewpoint-loop","Lord Hill End-to-end Viewpoint Loop","LordHill","10.0","1980","1980.0","LordHill","Loop","Trail","https://onthegomap.com/s/n4rlg8i8","","non-Seattle","non-Seattle","non-Seattle","non-Seattle"
"lynnwood-jogn-interurban-northgate","Lynnwood, Jog North, Interurban Trail, Northgate","Lynnwood","15.0","790","880.0","Northgate","P2P","Road","https://onthegomap.com/s/rk7tt0qb","","Bitter Lake;Greenwood;Licton Springs;Maple Leaf","Northgate;Northwest","Bitter Lake","Maple Leaf"
"madrona-park-lwb-madison-beach-ob","OB: Madrona Park, LWB, Madison Beach","MadronaPark","4.7","337","","MadronaPark","OB","","https://onthegomap.com/s/ls4gofa5","true","Harrison/Denny-Blaine;Madison Park;Madrona","Capitol Hill;Central Area","Madrona","Madrona"
"madrona-park-lwb-sailing-club-ob","OB: Madrona Park, LWB, Sailing Club","MadronaPark","6.0","339","","MadronaPark","OB","","https://onthegomap.com/s/8nsem6fp","true","Leschi;Madrona;Mount Baker;Seward Park","Central Area;Rainier Valley;Seward Park","Madrona","Madrona"
"magnuson-park-loop","Magnuson Park Loop","Magnuson","2.2","67","","Magnuson","Loop","","https://onthegomap.com/s/m5g1hfj5","true","Sand Point","Northeast","Sand Point","Sand Point"
"miller-interlaken-ob","OB: Miller Playfield, Interlaken","Miller","3.93","548","","Miller","OB","","https://onthegomap.com/s/apg53aoe","","Montlake;Stevens","Capitol Hill","Stevens","Stevens"
"miller-judkins-i90-bridge-ob","OB: Miller Playfield, Judkins Park, I90 Bridge","Miller","10.0","930","","Miller","OB","","https://onthegomap.com/s/cr1mcpsl","","Atlantic;Minor;Mount Baker;Stevens","Capitol Hill;Central Area;Rainier Valley","Stevens","Stevens"
"mb-lwb-cc","Mount Baker, LWB, Columbia City","MtBaker","3.3","261","","ColCity","P2P","","https://onthegomap.com/s/3i1cco56","","Columbia City;Mount Baker;North Beacon Hill;Seward Park","Beacon Hill;Rainier Valley;Seward Park","North Beacon Hill","Columbia City"
"northgate-resevoirs-roosevelt","Northgate, Resevoirs, Roosevelt","Northgate","4.1","600","","Roosevelt","P2P","","https://onthegomap.com/s/2tmbpess","","Maple Leaf;Roosevelt;Victory Heights","Lake City;Northeast;Northgate","Maple Leaf","Roosevelt"
"northgate-carkeek-ob","OB: Northgate, Carkeek","Northgate","6.4","720","","Northgate","OB","","https://onthegomap.com/s/k15n5ruq","","Bitter Lake;Broadview;Greenwood;Haller Lake;Licton Springs;Maple Leaf;North Beach/Blue Ridge","Northgate;Northwest","Maple Leaf","Maple Leaf"
"northgate-bitter-lake-ob","OB: Northgate, Interurban Trail, Bitter Lake","Northgate","7.0","520","","Northgate","OB","","https://onthegomap.com/s/t5v1dtdu","","Bitter Lake;Haller Lake;Licton Springs;Maple Leaf","Northgate;Northwest","Maple Leaf","Maple Leaf"
"northgate-carkeek-roosevelt","Northgate, Carkeek, Roosevelt","Northgate","8.2","750","","Roosevelt","P2P","","https://onthegomap.com/s/i52u05p8","","Bitter Lake;Broadview;Crown Hill;Green Lake;Greenwood;Haller Lake;Licton Springs;Maple Leaf;North Beach/Blue Ridge;Roosevelt;Whittier Heights","Ballard;North Central;Northeast;Northgate;Northwest","Maple Leaf","Roosevelt"
"northgate-cemeteries-interurban-boeing-creek-ob","OB: Northgate, Cemeteries, Interurban Trail, Boeing Creek","Northgate","12.1","1000","","Northgate","OB","","https://onthegomap.com/s/p9fqbats","","Bitter Lake;Haller Lake;Licton Springs;Maple Leaf","Northgate;Northwest","Maple Leaf","Maple Leaf"
"northgate-echo-lake-ob","OB: Northgate, Interurban Trail, Echo Lake","Northgate","12.4","580","","Northgate","OB","","https://onthegomap.com/s/mqvelf8h","","Bitter Lake;Greenwood;Licton Springs;Maple Leaf","Northgate;Northwest","Maple Leaf","Maple Leaf"
"pacpav-kinnear-kerry-queen-anne-loop","Paccar Pavilion, Kinnear, Kerry, Queen Anne Loop","PacPav","5.3","620","","PacPav","Loop","","https://onthegomap.com/s/os97cdo4","true","Belltown;East Queen Anne;Interbay;Lower Queen Anne;West Queen Anne","Downtown;Interbay;Queen Anne","Belltown","Belltown"
"sculpture-park-interbay-ob","OB: Sculpture Park, Interbary","PacPav","6.5","264","","PacPav","OB","","https://onthegomap.com/s/3pc0n4ej","true","Belltown;Interbay","Downtown;Interbay","Belltown","Belltown"
"sculpture-park-interbay-ship-canal-wlave-loop","Sculpture Park, Interbay, Ship Canal, Westlake Ave Loop","PacPav","8.9","400","","PacPav","Loop","","https://onthegomap.com/s/9pcf7pb3","true","Belltown;East Queen Anne;Interbay;Lower Queen Anne;North Queen Anne;South Lake Union;Southeast Magnolia;Westlake","Cascade;Downtown;Interbay;Magnolia;Queen Anne","Belltown","Belltown"
